,gender_real,gender_predicted,model_prediction_rate,true_predictions
0,1.0,0.51605344,,
1,1.0,0.013975024,,
2,1.0,0.9924222,,
3,1.0,0.99999976,,
4,1.0,0.036565125,,
5,1.0,0.38495478,,
6,1.0,0.0029405057,,
7,1.0,0.8050342,,
8,1.0,0.9469448,,
9,1.0,0.00040832162,,
10,1.0,0.97472787,,
11,1.0,0.9999344,,
12,1.0,0.9999989,,
13,1.0,0.8002489,,
14,1.0,0.021710277,,
15,1.0,2.3931265e-05,,
16,1.0,0.0001705885,,
17,1.0,0.8765821,,
18,1.0,0.9611815,,
19,1.0,0.0007275939,,
20,1.0,0.9926582,,
21,1.0,0.98317426,,
22,1.0,0.9999978,,
23,1.0,0.00021269917,,
24,1.0,0.86313915,,
25,0.0,0.00044927,,
26,0.0,0.1832085,,
27,0.0,0.0017111301,,
28,0.0,0.008648127,,
29,0.0,1.8447638e-05,,
30,0.0,0.013223678,,
31,0.0,0.31421882,,
32,0.0,0.02514103,,
33,0.0,0.0005235076,,
34,0.0,0.026492536,,
35,0.0,0.00036877394,,
36,0.0,0.08207384,,
37,0.0,0.08689937,,
38,0.0,0.24035186,,
39,0.0,0.0054745376,,
40,0.0,0.9978935,,
41,0.0,0.007677436,,
42,0.0,0.092243314,,
43,0.0,0.23732656,,
44,0.0,7.3611736e-05,,
45,0.0,0.4264133,,
46,0.0,0.01188612,,
47,0.0,0.02769187,,
48,0.0,0.0011446686,,
49,,,77.55102040816327,38.0
